1     	0     	-0.43053	-61.944
2     	0     	-0.38704	-52.638
3     	0     	-0.31595	-49.698
4     	0     	-0.30426	-48.537
5     	0     	-0.31092	-47.803
6     	0     	-0.32118	-47.201
7     	0     	-0.33283	-46.647
8     	0     	-0.34576	-46.101
9     	0     	-0.36016	-45.547
10    	0     	-0.37633	-44.973
11    	0     	-0.39453	-44.375
12    	0     	-0.41495	-43.752
13    	0     	-0.43771	-43.109
14    	0     	-0.46288	-42.45
15    	0     	-0.49044	-41.784
16    	0     	-0.52032	-41.118
17    	0     	-0.5524	-40.461
18    	0     	-0.58652	-39.818
19    	0     	-0.62248	-39.197
20    	0     	-0.66008	-38.599
21    	0     	-0.69907	-38.03
22    	0     	-0.73922	-37.489
23    	0     	-0.78028	-36.977
24    	0     	-0.82201	-36.495
25    	0     	-0.86416	-36.042
26    	0     	-0.9065	-35.616
27    	0     	-0.94881	-35.217
28    	0     	-0.99087	-34.843
29    	0     	-1.0325	-34.492
30    	0     	-1.0735	-34.163
31    	0     	-1.1138	-33.855
32    	0     	-1.1532	-33.567
33    	0     	-1.1916	-33.297
34    	0     	-1.2288	-33.044
35    	0     	-1.265	-32.806
36    	0     	-1.2999	-32.583
37    	0     	-1.3335	-32.374
38    	0     	-1.3658	-32.178
39    	0     	-1.3969	-31.994
40    	0     	-1.4266	-31.82
41    	0     	-1.455	-31.658
42    	0     	-1.4821	-31.505
43    	0     	-1.5079	-31.361
44    	0     	-1.5325	-31.225
45    	0     	-1.5559	-31.097
46    	0     	-1.5781	-30.977
47    	0     	-1.5991	-30.863
48    	0     	-1.619	-30.756
49    	0     	-1.6379	-30.655
50    	0     	-1.6557	-30.56
51    	0     	-1.6725	-30.469
52    	0     	-1.6884	-30.384
53    	0     	-1.7034	-30.303
54    	0     	-1.7175	-30.227
55    	0     	-1.7308	-30.155
56    	0     	-1.7433	-30.086
57    	0     	-1.7551	-30.022
58    	0     	-1.7662	-29.96
59    	0     	-1.7766	-29.902
60    	0     	-1.7864	-29.846
61    	0     	-1.7956	-29.794
62    	0     	-1.8042	-29.744
63    	0     	-1.8123	-29.697
64    	0     	-1.8198	-29.652
65    	0     	-1.827	-29.609
66    	0     	-1.8336	-29.568
67    	0     	-1.8399	-29.529
68    	0     	-1.8457	-29.492
69    	0     	-1.8512	-29.457
70    	0     	-1.8563	-29.424
71    	0     	-1.8611	-29.392
72    	0     	-1.8656	-29.361
73    	0     	-1.8698	-29.332
74    	0     	-1.8738	-29.305
75    	0     	-1.8774	-29.278
76    	0     	-1.8809	-29.253
77    	0     	-1.8841	-29.229
78    	0     	-1.8871	-29.206
79    	0     	-1.8899	-29.184
80    	0     	-1.8925	-29.164
81    	0     	-1.895	-29.144
82    	0     	-1.8973	-29.124
83    	0     	-1.8994	-29.106
84    	0     	-1.9014	-29.089
85    	0     	-1.9033	-29.072
86    	0     	-1.9051	-29.056
87    	0     	-1.9067	-29.041
88    	0     	-1.9082	-29.026
89    	0     	-1.9097	-29.012
90    	0     	-1.911	-28.999
91    	0     	-1.9122	-28.986
92    	0     	-1.9134	-28.974
93    	0     	-1.9145	-28.962
94    	0     	-1.9155	-28.951
95    	0     	-1.9164	-28.94
96    	0     	-1.9173	-28.93
97    	0     	-1.9182	-28.92
98    	0     	-1.9189	-28.911
99    	0     	-1.9197	-28.902
100   	0     	-1.9203	-28.893
