L			V_Ratio		Volume		Surface		Surface/Volume
0.9866  	0.284   	30.55   	140.4   	4.597   
4.275   	0.0234  	47.11   	280.2   	8.44    
9.529   	0.001372	50.94   	341.4   	15.96   
12.15   	0.001998	59.64   	418.1   	8.824   
17.9    	0.0009378	68.07   	533     	13.63   
20.12   	0.0005009	73.69   	614.2   	14.44   
24.59   	0.0002669	78.09   	688     	16.81   
33.89   	4.771e-05	80.3    	725.7   	18.83   
