71    	7.5897	0.00034713	0.0020882	2.0701	0.075614	2.3999	0.081062
72    	7.5533	0.00034042	0.0020912	2.0899	0.075322	2.4518	0.080826
73    	7.5169	0.00033394	0.0020933	2.1092	0.075032	2.504 	0.080591
74    	7.4806	0.00032767	0.0020945	2.1281	0.074742	2.5564	0.080357
75    	7.4443	0.0003216	0.0020948	2.1465	0.074454	2.609 	0.080124
76    	7.4082	0.00031572	0.0020943	2.1645	0.074167	2.6619	0.079891
77    	7.3721	0.00031003	0.002093	2.1821	0.073881	2.7149	0.079659
78    	7.3361	0.00030451	0.002091	2.1993	0.073596	2.7681	0.079428
79    	7.3002	0.00029916	0.0020883	2.216 	0.073312	2.8215	0.079197
80    	7.2645	0.00029396	0.0020849	2.2324	0.07303	2.8752	0.078967
81    	7.2288	0.00028892	0.0020809	2.2483	0.072748	2.9289	0.078738
82    	7.1933	0.00028402	0.0020762	2.2639	0.072468	2.9829	0.07851
83    	7.1579	0.00027925	0.002071	2.279 	0.072188	3.037 	0.078282
84    	7.1226	0.00027462	0.0020652	2.2938	0.07191	3.0913	0.078054
85    	7.0875	0.00027012	0.0020589	2.3082	0.071633	3.1457	0.077828
86    	7.0525	0.00026573	0.0020521	2.3222	0.071357	3.2002	0.077602
87    	7.0176	0.00026147	0.0020448	2.3359	0.071082	3.2549	0.077376
88    	6.9829	0.00025731	0.002037	2.3492	0.070808	3.3097	0.077152
89    	6.9483	0.00025326	0.0020288	2.3621	0.070535	3.3647	0.076928
90    	6.9139	0.00024932	0.0020203	2.3747	0.070263	3.4197	0.076704
91    	6.8796	0.00024548	0.0020113	2.3869	0.069992	3.4749	0.076482
92    	6.8455	0.00024173	0.002002	2.3988	0.069722	3.5302	0.076259
93    	6.8116	0.00023807	0.0019923	2.4103	0.069454	3.5856	0.076038
94    	6.7777	0.0002345	0.0019823	2.4216	0.069186	3.6411	0.075817
95    	6.7441	0.00023102	0.001972	2.4324	0.068919	3.6966	0.075597
96    	6.7106	0.00022763	0.0019614	2.443 	0.068654	3.7523	0.075377
97    	6.6772	0.00022431	0.0019505	2.4532	0.068389	3.808 	0.075158
98    	6.644 	0.00022107	0.0019394	2.4632	0.068125	3.8639	0.07494
99    	6.611 	0.00021791	0.0019281	2.4728	0.067862	3.9198	0.074722
100   	6.5781	0.00021482	0.0019165	2.4821	0.067601	3.9757	0.074505
101   	6.5454	0.0002118	0.0019047	2.4911	0.06734	4.0318	0.074289
102   	6.5128	0.00020885	0.0018927	2.4998	0.06708	4.0879	0.074073
103   	6.4804	0.00020596	0.0018806	2.5083	0.066822	4.1441	0.073857
104   	6.4481	0.00020314	0.0018682	2.5164	0.066564	4.2003	0.073643
105   	6.416 	0.00020038	0.0018558	2.5243	0.066307	4.2565	0.073429
106   	6.3841	0.00019769	0.0018431	2.5318	0.066051	4.3129	0.073215
107   	6.3523	0.00019505	0.0018304	2.5391	0.065796	4.3692	0.073002
108   	6.3206	0.00019247	0.0018175	2.5462	0.065542	4.4256	0.07279
109   	6.2891	0.00018994	0.0018045	2.5529	0.065289	4.4821	0.072578
110   	6.2578	0.00018747	0.0017915	2.5594	0.065037	4.5385	0.072367
111   	6.2266	0.00018505	0.0017783	2.5657	0.064786	4.5951	0.072157
