1     	0     	8.3942e-06	0.099602	0.10966	0     
2     	0     	2.4899e-05	0.099205	0.12015	0     
3     	0     	4.9232e-05	0.09881	0.13151	0     
4     	0     	8.1109e-05	0.098417	0.14379	0     
5     	0     	0.00012025	0.098025	0.15705	0     
6     	0     	0.00016636	0.097636	0.17134	0     
7     	0     	0.00021917	0.097248	0.1867	0     
8     	0     	0.00027839	0.096862	0.20318	0     
9     	0     	0.00034374	0.096479	0.22082	0     
10    	0     	0.00041494	0.096097	0.23968	0     
11    	0     	0.00049172	0.095717	0.25978	0     
12    	0     	0.0005738	0.095339	0.28117	0     
13    	0     	0.00066091	0.094963	0.30386	0     
14    	0     	0.00075279	0.094589	0.3279	0     
15    	0     	0.00084916	0.094217	0.3533	0     
16    	0     	0.00094977	0.093848	0.38008	0     
17    	0     	0.0010544	0.09348	0.40826	0     
18    	0     	0.0011627	0.093115	0.43783	0     
19    	0     	0.0012745	0.092751	0.46882	0     
20    	0     	0.0013896	0.09239	0.5012	0     
21    	0     	0.0015078	0.092031	0.53499	0     
22    	0     	0.0016287	0.091674	0.57016	0     
23    	0     	0.0017523	0.091319	0.60671	0     
24    	0     	0.0018782	0.090967	0.64462	0     
25    	0     	0.0020063	0.090616	0.68386	0     
26    	0     	0.0021364	0.090268	0.72443	0     
27    	0     	0.0022683	0.089922	0.76628	0     
28    	0     	0.0024019	0.089578	0.8094	0     
29    	0     	0.0025369	0.089236	0.85375	0     
30    	0     	0.0026733	0.088897	0.8993	0     
31    	0     	0.0028108	0.088559	0.94603	0     
32    	0     	0.0029492	0.088224	0.99389	0     
33    	0     	0.0030886	0.087891	1.0429	0     
34    	0     	0.0032286	0.08756	1.0929	0     
35    	0     	0.0033693	0.087232	1.144 	0     
36    	0     	0.0035104	0.086905	1.196 	0     
37    	0     	0.0036519	0.086581	1.2491	0     
38    	0     	0.0037937	0.086258	1.3031	0     
39    	0     	0.0039356	0.085938	1.3579	0     
40    	0     	0.0040775	0.08562	1.4137	0     
41    	0     	0.0042194	0.085304	1.4703	0     
42    	0     	0.0043612	0.08499	1.5277	0     
43    	0     	0.0045027	0.084679	1.5858	0     
44    	0     	0.004644	0.084369	1.6447	0     
45    	0     	0.0047849	0.084062	1.7043	0     
46    	0     	0.0049253	0.083756	1.7646	0     
47    	0     	0.0050653	0.083453	1.8256	0     
48    	0     	0.0052047	0.083151	1.8872	0     
49    	0     	0.0053435	0.082852	1.9494	0     
50    	0     	0.0054816	0.082555	2.0122	0     
51    	0     	0.0056189	0.082259	2.0755	0     
52    	0     	0.0057555	0.081966	2.1394	0     
53    	0     	0.0058913	0.081675	2.2038	0     
54    	0     	0.0060262	0.081385	2.2687	0     
55    	0     	0.0061602	0.081098	2.334 	0     
56    	0     	0.0062933	0.080812	2.3998	0     
57    	0     	0.0064254	0.080529	2.466 	0     
58    	0     	0.0065565	0.080247	2.5326	0     
59    	0     	0.0066866	0.079967	2.5997	0     
