Graph addvar/addexpr lines
6 101
x dendrite[0].cai( 0.05 ) dendrite[0].cao( 0.05 ) dendrite[0].dica_dv_( 0.05 ) dendrite[0].eca( 0.05 ) dendrite[0].ica( 0.05 ) dendrite[0].v( 0.05 )
81.5	5e-05	2	0.013869	127.59	0.760332	-26.6613
82.5	5e-05	2	0.0142615	127.59	0.781876	-26.6611
83.5	5e-05	2	0.0146563	127.59	0.80354	-26.6608
84.5	5e-05	2	0.0150531	127.59	0.825313	-26.6606
85.5	5e-05	2	0.0154516	127.59	0.847183	-26.6604
86.5	5e-05	2	0.0158517	127.59	0.869138	-26.6602
87.5	5e-05	2	0.0162531	127.59	0.891168	-26.66
88.5	5e-05	2	0.0166557	127.59	0.913262	-26.6598
89.5	5e-05	2	0.0170593	127.59	0.935408	-26.6596
90.5	5e-05	2	0.0174636	127.59	0.957596	-26.6594
91.5	5e-05	2	0.0178685	127.59	0.979815	-26.6593
92.5	5e-05	2	0.0182738	127.59	1.00206	-26.6591
93.5	5e-05	2	0.0186792	127.59	1.02431	-26.6589
94.5	5e-05	2	0.0190848	127.59	1.04656	-26.6588
95.5	5e-05	2	0.0194901	127.59	1.06881	-26.6587
96.5	5e-05	2	0.0198952	127.59	1.09103	-26.6585
97.5	5e-05	2	0.0202997	127.59	1.11324	-26.6584
98.5	5e-05	2	0.0207036	127.59	1.1354	-26.6583
99.5	5e-05	2	0.0211068	127.59	1.15752	-26.6581
0 unlabeled lines
